id,company,title,location,source,url,posted_at,keywords,score,status,created_at,updated_at,notes
ab-d2d32a6d-5f29-4708-83d0-03b4e44c031d,ramp,Sales Development Representative,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/d2d32a6d-5f29-4708-83d0-03b4e44c031d,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-48751415-23a2-4d82-8b4e-538d913632ce,ramp,Sales Enablement Manager | Channel,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/48751415-23a2-4d82-8b4e-538d913632ce,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-ad77d077-b2e5-49f3-aa80-3578f8437415,ramp,Sales Enablement | Onboarding,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/ad77d077-b2e5-49f3-aa80-3578f8437415,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-34413f8d-26bf-4bbc-8ade-eb309a0e2245,ramp, Security Engineer | Cloud,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/34413f8d-26bf-4bbc-8ade-eb309a0e2245,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-e5f6c48f-72ca-4459-bd07-34d937881811,ramp,Security Engineer | Data,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/e5f6c48f-72ca-4459-bd07-34d937881811,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-168e93f0-3c8a-4811-bd0a-02db08e9a7c1,ramp,Security Engineer | Identity,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/168e93f0-3c8a-4811-bd0a-02db08e9a7c1,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-b26ce73c-9274-4ebd-a4bd-03ca7a31e8f5,ramp,Senior Accountant,"San Francisco, CA",ashby,https://jobs.ashbyhq.com/ramp/job/b26ce73c-9274-4ebd-a4bd-03ca7a31e8f5,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-a88227f6-16c3-4724-b013-f891e88ea98e,ramp,Senior Account Based Growth Manager,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/a88227f6-16c3-4724-b013-f891e88ea98e,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-541ce1c9-8903-48dc-87f2-e88efcb4af44,ramp,Senior Analytics Engineer | Compliance & Regulatory,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/541ce1c9-8903-48dc-87f2-e88efcb4af44,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-84d4a0a3-f629-4fac-acaa-63437029043f,ramp,Senior Design-Engineer | Design Systems,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/84d4a0a3-f629-4fac-acaa-63437029043f,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-00045208-18e1-434d-b72a-4564058e0990,ramp,Senior Designer | Mobile,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/00045208-18e1-434d-b72a-4564058e0990,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-03677452-cced-4dda-b29f-b69ab14041d7,ramp,Senior Fraud Operations Specialist | Ireland,Remote (Ireland),ashby,https://jobs.ashbyhq.com/ramp/job/03677452-cced-4dda-b29f-b69ab14041d7,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-c45abd6a-87e7-4b26-ba20-0330c9bba3bc,ramp,Senior Fraud Operations Specialist | UK,Remote (UK),ashby,https://jobs.ashbyhq.com/ramp/job/c45abd6a-87e7-4b26-ba20-0330c9bba3bc,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-20b3fd61-d517-4c05-bca6-6f6563737072,ramp,Senior Fraud Risk Associate,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/20b3fd61-d517-4c05-bca6-6f6563737072,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-39d302da-b017-4f18-b6ad-f0e77d024e2c,ramp,Senior Product Designer ,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/39d302da-b017-4f18-b6ad-f0e77d024e2c,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-b88b3d59-2d04-4678-bcd8-be47c4c952ad,ramp,Senior Product Designer | Acquisitions Web,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/b88b3d59-2d04-4678-bcd8-be47c4c952ad,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-9972df9e-4133-4e2c-9305-49c285b76506,ramp,Senior Product Manager,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/9972df9e-4133-4e2c-9305-49c285b76506,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-e0b64893-0459-4d84-ac4f-7b50966ef024,ramp,Senior Product Manager | Activation & Expansion,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/e0b64893-0459-4d84-ac4f-7b50966ef024,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-cdc3cb5a-8c6d-4820-86cf-5f9daa2b41fc,ramp,Senior Product Marketing Manager,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/cdc3cb5a-8c6d-4820-86cf-5f9daa2b41fc,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-f3ac0937-58d6-43a8-90e6-c7250c8ee5ce,ramp,Senior Product & Partnerships Compliance Lead,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/f3ac0937-58d6-43a8-90e6-c7250c8ee5ce,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-1f074311-d20a-428a-9ca1-86e5afbe9baf,ramp,Senior Product Partnerships Manager,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/1f074311-d20a-428a-9ca1-86e5afbe9baf,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-53e983e0-db9e-4e2e-bdce-10e220872b07,ramp,Senior Risk Operations Specialist | Portfolio Risk Management,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/53e983e0-db9e-4e2e-bdce-10e220872b07,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-9b789a7c-fc54-483f-a298-6352f3eff3f7,ramp,Senior Risk Operations Specialist | Underwriting,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/9b789a7c-fc54-483f-a298-6352f3eff3f7,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-e3b42872-2973-415d-af15-f819d42baacf,ramp,Senior Security Analyst | Enterprise Security,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/e3b42872-2973-415d-af15-f819d42baacf,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-f227f8bb-4622-471c-aaf1-75fa0c76cc98,ramp,Senior Security Engineer | Detection & Response,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/f227f8bb-4622-471c-aaf1-75fa0c76cc98,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-17ad9012-2545-4403-8e81-0775075a4fa3,ramp,Senior Software Engineer | Forward Deployed ,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/17ad9012-2545-4403-8e81-0775075a4fa3,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-61bd051f-320a-4abc-adf5-30637cd68b26,ramp,SEO Strategist,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/61bd051f-320a-4abc-adf5-30637cd68b26,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-77707861-5a6d-4fab-97f0-5de607ffb88e,ramp,Software Engineer | Growth,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/77707861-5a6d-4fab-97f0-5de607ffb88e,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-67fadb77-43d8-4449-954b-d4cf2c6d3b8b,ramp,Software Engineer Internship | Android ,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/67fadb77-43d8-4449-954b-d4cf2c6d3b8b,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-c50962b5-c641-4d44-bbe5-7f1d6e7ce51f,ramp,Software Engineer Internship | Backend,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/c50962b5-c641-4d44-bbe5-7f1d6e7ce51f,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-31f7e045-9a51-4a75-9ffc-d815d6db6daa,ramp,Software Engineer Internship | Frontend,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/31f7e045-9a51-4a75-9ffc-d815d6db6daa,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-8c155b55-3e7e-48a8-ac98-f988a2b6f4da,ramp,Software Engineer Internship | iOS,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/8c155b55-3e7e-48a8-ac98-f988a2b6f4da,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
